#White, J., Bradley, E., Garland, J., Jones, T., Morris, V., Price, M., Vaughn, B., 2019. Stable #Isotopes of Ice in the Transition and Glacial Sections of the WAIS Divide Deep Ice Core. #https://doi.org/10.15784/601274 from WDC_accumulation_annual.xls downloaded 03/2024
#50-year and 100-year average accumulation rates;;;;
;;;;
Age (years before 1950 on WD2014);Advection-correction accumulation rate (ice eq.);;Age (years before 1950 on WD2014);Advection-correction accumulation rate (ice eq.)
7900;0,19576249;;15800;0,157854638
7950;0,194918218;;15900;0,173039258
8000;0,193737276;;16000;0,145725673
8050;0,194952957;;16100;0,145614453
8100;0,198694049;;16200;0,130861794
8150;0,198558214;;16300;0,135192341
8200;0,194591702;;16400;0,126859895
8250;0,197515246;;16500;0,121008813
8300;0,196188612;;16600;0,132043426
8350;0,18798734;;16700;0,122145951
8400;0,182863962;;16800;0,112984777
8450;0,191534051;;16900;0,120452831
8500;0,177463868;;17000;0,109930711
8550;0,188547725;;17100;0,103245303
8600;0,188739088;;17200;0,102326906
8650;0,182928149;;17300;0,097520677
8700;0,185582906;;17400;0,099605562
8750;0,189278401;;17500;0,098684563
8800;0,188300992;;17600;0,09298153
8850;0,181182709;;17700;0,095108901
8900;0,179471369;;17800;0,094562422
8950;0,179503447;;17900;0,09525208
9000;0,17887513;;18000;0,091494403
9050;0,176753923;;18100;0,092234376
9100;0,174653297;;18200;0,083449373
9150;0,173612599;;18300;0,081686522
9200;0,16965669;;18400;0,084726989
9250;0,172628544;;18500;0,084263219
9300;0,178212033;;18600;0,083933339
9350;0,17055734;;18700;0,08182358
9400;0,178012378;;18800;0,085300505
9450;0,181405905;;18900;0,083109686
9500;0,184108626;;19000;0,081300758
9550;0,185299688;;19100;0,083784644
9600;0,181329793;;19200;0,081414088
9650;0,179112619;;19300;0,081971377
9700;0,175249199;;19400;0,084432332
9750;0,187672316;;19500;0,08870102
9800;0,175245419;;19600;0,085023828
9850;0,17710519;;19700;0,088935438
9900;0,177245206;;19800;0,083460023
9950;0,183250463;;19900;0,083114623
10000;0,17154491;;20000;0,09231347
10050;0,180670339;;20100;0,083830166
10100;0,177266709;;20200;0,087801366
10150;0,172316831;;20300;0,087764081
10200;0,180044639;;20400;0,089076248
10250;0,175947777;;20500;0,085665727
10300;0,173992933;;20600;0,093836112
10350;0,180966119;;20700;0,092273842
10400;0,180569665;;20800;0,090456592
10450;0,177213405;;20900;0,086981391
