#from supplied Source Data of Extended Data Figure 1  from
#Jones, T.R., Cuffey, K.M., Roberts, W.H.G., Markle, B.R., Steig, E.J., Stevens, C.M., 
#Valdes, P.J., Fudge, T.J., Sigl, M., Hughes, A.G., Morris, V., Vaughn, B.H., Garland, J., Vinther, B.M., Rozmiarek, K.S., 
#Brashear, C.A., White, J.W.C., 2023. Seasonal temperatures in West Antarctica during the #Holocene. Nature 613, 292–297. https://doi.org/10.1038/s41586-022-05411-8
#Extracted from Sheet Panel C 41586_2022_5411_MOESM5_ESM.xlsx; downloaded 03/2024
;Diffusion Length;Diffusion Length;Diffusion Length;;;;
Age;140-yr windows, 70-yr time steps;1sigma+;1sigma-;;;;
(ka);(yr);(yr);(yr);;;;
9,934;0,28;0,30;0,27;;;;
10,004;0,27;0,29;0,25;;;;
10,074;0,29;0,30;0,27;;;;
10,144;0,29;0,31;0,27;;;;
10,214;0,30;0,32;0,28;;;;
10,284;0,30;0,32;0,28;;;;
10,354;0,31;0,33;0,30;;;;
10,424;0,29;0,31;0,27;;;;
10,494;0,30;0,32;0,27;;;;
10,564;0,28;0,30;0,25;;;;
10,634;0,29;0,31;0,27;;;;
10,704;0,29;0,30;0,27;;;;
10,774;0,28;0,30;0,27;;;;
10,844;0,29;0,31;0,27;;;;
10,914;0,27;0,29;0,25;;;;
