Note: The temperature values on this sheet are 1,000-yr averages. ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Age;Summer Temp;1sigma+;1sigma-;2sigma+;2sigma-;;Age;ORBIT;;Age;MEBM;;Age;GLAC1D;;Age;ICE-6G;
(ka);(C);(C);(C);(C);(C);;(ka);(C);;(ka);(C);;(ka);(C);;(ka);(C);
0,272;-0,75;-0,53;-0,95;-0,30;-1,14;;;;;;;;;;;;;
0,273;-0,75;-0,53;-0,95;-0,30;-1,14;;;;;;;;;;;;;
0,274;-0,75;-0,52;-0,94;-0,30;-1,13;;;;;;;;;;;;;
0,275;-0,74;-0,51;-0,93;-0,29;-1,12;;;;;;;;;;;;;
0,276;-0,75;-0,52;-0,94;-0,30;-1,13;;;;;;;;;;;;;
0,277;-0,75;-0,53;-0,95;-0,30;-1,14;;;;;;;;;;;;;
0,278;-0,75;-0,53;-0,94;-0,30;-1,14;;;;;;;;;;;;;
0,279;-0,75;-0,53;-0,94;-0,30;-1,13;;;;;;;;;;;;;
0,280;-0,75;-0,53;-0,94;-0,30;-1,13;;;;;;;;;;;;;
0,281;-0,76;-0,53;-0,95;-0,31;-1,14;;;;;;;;;;;;;
0,282;-0,76;-0,54;-0,95;-0,31;-1,14;;;;;;;;;;;;;
0,283;-0,76;-0,54;-0,95;-0,31;-1,14;;;;;;;;;;;;;
0,284;-0,75;-0,52;-0,94;-0,30;-1,13;;;;;;;;;;;;;
0,285;-0,76;-0,53;-0,95;-0,31;-1,14;;;;;;;;;;;;;
0,286;-0,76;-0,53;-0,95;-0,31;-1,14;;;;;;;;;;;;;
0,287;-0,75;-0,53;-0,94;-0,30;-1,13;;;;;;;;;;;;;
0,288;-0,75;-0,53;-0,94;-0,30;-1,13;;;;;;;;;;;;;
0,289;-0,75;-0,52;-0,94;-0,30;-1,13;;;;;;;;;;;;;
0,290;-0,75;-0,53;-0,94;-0,30;-1,13;;;;;;;;;;;;;
0,291;-0,75;-0,53;-0,94;-0,30;-1,13;;;;;;;;;;;;;
0,292;-0,75;-0,53;-0,94;-0,30;-1,13;;;;;;;;;;;;;
0,293;-0,75;-0,52;-0,94;-0,30;-1,13;;;;;;;;;;;;;
0,294;-0,75;-0,52;-0,94;-0,30;-1,13;;;;;;;;;;;;;
0,295;-0,74;-0,52;-0,94;-0,29;-1,13;;;;;;;;;;;;;
0,296;-0,74;-0,52;-0,93;-0,29;-1,13;;;;;;;;;;;;;
0,297;-0,74;-0,52;-0,93;-0,29;-1,13;;;;;;;;;;;;;
0,298;-0,75;-0,52;-0,94;-0,30;-1,13;;;;;;;;;;;;;
0,299;-0,75;-0,52;-0,94;-0,30;-1,13;;;;;;;;;;;;;
0,300;-0,74;-0,51;-0,93;-0,29;-1,12;;;;;;;;;;;;;
0,301;-0,73;-0,50;-0,92;-0,28;-1,11;;;;;;;;;;;;;
0,302;-0,71;-0,48;-0,90;-0,26;-1,09;;;;;;;;;;;;;
0,303;-0,69;-0,46;-0,88;-0,24;-1,07;;;;;;;;;;;;;
0,304;-0,68;-0,45;-0,87;-0,22;-1,07;;;;;;;;;;;;;
0,305;-0,69;-0,46;-0,88;-0,23;-1,07;;;;;;;;;;;;;
0,306;-0,69;-0,46;-0,88;-0,23;-1,08;;;;;;;;;;;;;
0,307;-0,68;-0,45;-0,88;-0,22;-1,07;;;;;;;;;;;;;
0,308;-0,69;-0,46;-0,88;-0,23;-1,07;;;;;;;;;;;;;
0,309;-0,68;-0,45;-0,87;-0,22;-1,06;;;;;;;;;;;;;
0,310;-0,68;-0,45;-0,87;-0,22;-1,07;;;;;;;;;;;;;
0,311;-0,69;-0,46;-0,88;-0,23;-1,08;;;;;;;;;;;;;
0,312;-0,69;-0,46;-0,88;-0,23;-1,07;;;;;;;;;;;;;
0,313;-0,69;-0,46;-0,88;-0,23;-1,08;;;;;;;;;;;;;
0,314;-0,69;-0,46;-0,89;-0,24;-1,08;;;;;;;;;;;;;
0,315;-0,69;-0,47;-0,89;-0,24;-1,08;;;;;;;;;;;;;
0,316;-0,69;-0,46;-0,89;-0,23;-1,08;;;;;;;;;;;;;
0,317;-0,70;-0,47;-0,89;-0,24;-1,08;;;;;;;;;;;;;
0,318;-0,70;-0,47;-0,89;-0,24;-1,08;;;;;;;;;;;;;
