Note: The temperature values on this sheet are 1,000-yr averages. ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Age;Summer Temp;1sigma+;1sigma-;2sigma+;2sigma-;;Age;ORBIT;;Age;MEBM;;Age;GLAC1D;;Age;ICE-6G;
(ka);(C);(C);(C);(C);(C);;(ka);(C);;(ka);(C);;(ka);(C);;(ka);(C);
3,068;0,18;0,54;-0,08;0,90;-0,35;;;;;;;;;;;;;
3,069;0,18;0,54;-0,08;0,90;-0,35;;;;;;;;;;;;;
3,070;0,18;0,54;-0,08;0,90;-0,34;;;;;;;;;;;;;
3,071;0,18;0,54;-0,08;0,90;-0,34;;;;;;;;;;;;;
3,072;0,18;0,54;-0,08;0,90;-0,34;;;;;;;;;;;;;
3,073;0,19;0,55;-0,08;0,91;-0,34;;;;;;;;;;;;;
3,074;0,18;0,54;-0,08;0,90;-0,34;;;;;;;;;;;;;
3,075;0,19;0,55;-0,08;0,91;-0,34;;;;;;;;;;;;;
3,076;0,19;0,55;-0,07;0,91;-0,34;;;;;;;;;;;;;
3,077;0,19;0,55;-0,07;0,91;-0,33;;;;;;;;;;;;;
3,078;0,20;0,56;-0,07;0,92;-0,33;;;;;;;;;;;;;
3,079;0,20;0,56;-0,07;0,92;-0,33;;;;;;;;;;;;;
3,080;0,20;0,56;-0,07;0,92;-0,33;;;;;;;;;;;;;
3,081;0,20;0,56;-0,07;0,92;-0,33;;;;;;;;;;;;;
3,082;0,20;0,56;-0,07;0,92;-0,33;;;;;;;;;;;;;
3,083;0,20;0,56;-0,07;0,92;-0,33;;;;;;;;;;;;;
3,084;0,20;0,56;-0,07;0,92;-0,33;;;;;;;;;;;;;
3,085;0,19;0,55;-0,07;0,91;-0,33;;;;;;;;;;;;;
3,086;0,19;0,55;-0,07;0,91;-0,34;;;;;;;;;;;;;
3,087;0,19;0,55;-0,07;0,91;-0,34;;;;;;;;;;;;;
3,088;0,19;0,55;-0,08;0,91;-0,34;;;;;;;;;;;;;
3,089;0,19;0,55;-0,08;0,91;-0,34;;;;;;;;;;;;;
3,090;0,19;0,55;-0,08;0,91;-0,34;;;;;;;;;;;;;
3,091;0,19;0,55;-0,08;0,91;-0,34;;;;;;;;;;;;;
3,092;0,19;0,55;-0,08;0,91;-0,34;;;;;;;;;;;;;
3,093;0,19;0,54;-0,08;0,90;-0,34;;;;;;;;;;;;;
3,094;0,18;0,54;-0,08;0,90;-0,35;;;;;;;;;;;;;
3,095;0,18;0,54;-0,08;0,90;-0,35;;;;;;;;;;;;;
3,096;0,18;0,54;-0,08;0,90;-0,35;;;;;;;;;;;;;
3,097;0,19;0,54;-0,08;0,90;-0,34;;;;;;;;;;;;;
3,098;0,19;0,55;-0,08;0,91;-0,34;;;;;;;;;;;;;
3,099;0,19;0,55;-0,07;0,91;-0,34;;;;;;;;;;;;;
3,100;0,19;0,55;-0,07;0,91;-0,34;;;;;;;;;;;;;
3,101;0,19;0,55;-0,07;0,91;-0,34;;;;;;;;;;;;;
3,102;0,19;0,55;-0,07;0,91;-0,34;;;;;;;;;;;;;
3,103;0,19;0,55;-0,07;0,91;-0,33;;;;;;;;;;;;;
3,104;0,20;0,55;-0,07;0,91;-0,33;;;;;;;;;;;;;
3,105;0,20;0,56;-0,07;0,92;-0,33;;;;;;;;;;;;;
3,106;0,20;0,56;-0,07;0,92;-0,33;;;;;;;;;;;;;
3,107;0,20;0,56;-0,07;0,92;-0,33;;;;;;;;;;;;;
3,108;0,20;0,56;-0,06;0,92;-0,33;;;;;;;;;;;;;
3,109;0,20;0,56;-0,06;0,92;-0,33;;;;;;;;;;;;;
3,110;0,21;0,57;-0,06;0,93;-0,33;;;;;;;;;;;;;
3,111;0,21;0,57;-0,05;0,93;-0,32;;;;;;;;;;;;;
3,112;0,21;0,57;-0,05;0,93;-0,32;;;;;;;;;;;;;
3,113;0,21;0,57;-0,05;0,93;-0,32;;;;;;;;;;;;;
3,114;0,21;0,57;-0,05;0,93;-0,32;;;;;;;;;;;;;
3,115;0,22;0,58;-0,05;0,94;-0,32;;;;;;;;;;;;;
3,116;0,22;0,58;-0,05;0,94;-0,32;;;;;;;;;;;;;
3,117;0,22;0,58;-0,05;0,94;-0,31;;;;;;;;;;;;;
3,118;0,22;0,58;-0,05;0,94;-0,32;;;;;;;;;;;;;
3,119;0,22;0,58;-0,05;0,94;-0,32;;;;;;;;;;;;;
3,120;0,22;0,58;-0,05;0,94;-0,32;;;;;;;;;;;;;
3,121;0,22;0,58;-0,05;0,94;-0,32;;;;;;;;;;;;;
3,122;0,22;0,58;-0,05;0,94;-0,32;;;;;;;;;;;;;
3,123;0,22;0,58;-0,05;0,94;-0,32;;;;;;;;;;;;;
3,124;0,22;0,58;-0,05;0,94;-0,32;;;;;;;;;;;;;
3,125;0,21;0,57;-0,05;0,93;-0,32;;;;;;;;;;;;;
3,126;0,21;0,57;-0,05;0,93;-0,32;;;;;;;;;;;;;
3,127;0,22;0,57;-0,05;0,93;-0,32;;;;;;;;;;;;;
3,128;0,22;0,58;-0,05;0,94;-0,32;;;;;;;;;;;;;
3,129;0,22;0,58;-0,05;0,94;-0,32;;;;;;;;;;;;;
3,130;0,22;0,58;-0,05;0,95;-0,31;;;;;;;;;;;;;
3,131;0,22;0,59;-0,04;0,95;-0,31;;;;;;;;;;;;;
3,132;0,22;0,58;-0,05;0,94;-0,32;;;;;;;;;;;;;
3,133;0,22;0,58;-0,05;0,94;-0,32;;;;;;;;;;;;;
3,134;0,22;0,58;-0,05;0,95;-0,31;;;;;;;;;;;;;
3,135;0,22;0,59;-0,05;0,95;-0,32;;;;;;;;;;;;;
3,136;0,23;0,59;-0,04;0,95;-0,31;;;;;;;;;;;;;
3,137;0,23;0,59;-0,04;0,95;-0,31;;;;;;;;;;;;;
3,138;0,23;0,59;-0,04;0,95;-0,31;;;;;;;;;;;;;
3,139;0,23;0,59;-0,04;0,96;-0,31;;;;;;;;;;;;;
3,140;0,23;0,60;-0,04;0,96;-0,31;;;;;;;;;;;;;
3,141;0,23;0,59;-0,04;0,95;-0,31;;;;;;;;;;;;;
3,142;0,24;0,60;-0,03;0,96;-0,30;;;;;;;;;;;;;
3,143;0,24;0,60;-0,03;0,96;-0,30;;;;;;;;;;;;;
3,144;0,24;0,60;-0,03;0,96;-0,30;;;;;;;;;;;;;
3,145;0,24;0,60;-0,03;0,96;-0,30;;;;;;;;;;;;;
3,146;0,25;0,61;-0,02;0,97;-0,29;;;;;;;;;;;;;
3,147;0,25;0,61;-0,02;0,97;-0,29;;;;;;;;;;;;;
3,148;0,25;0,61;-0,02;0,97;-0,29;;;;;;;;;;;;;
3,149;0,25;0,61;-0,02;0,97;-0,29;;;;;;;;;;;;;
3,150;0,25;0,61;-0,02;0,97;-0,29;;;;;;;;;;;;;
3,151;0,25;0,61;-0,02;0,97;-0,29;;;;;;;;;;;;;
3,152;0,25;0,61;-0,02;0,97;-0,29;;;;;;;;;;;;;
3,153;0,25;0,61;-0,02;0,97;-0,29;;;;;;;;;;;;;
3,154;0,25;0,62;-0,02;0,98;-0,29;;;;;;;;;;;;;
3,155;0,25;0,61;-0,02;0,97;-0,29;;;;;;;;;;;;;
3,156;0,24;0,60;-0,03;0,97;-0,30;;;;;;;;;;;;;
3,157;0,24;0,60;-0,03;0,96;-0,30;;;;;;;;;;;;;
3,158;0,25;0,61;-0,02;0,97;-0,30;;;;;;;;;;;;;
3,159;0,25;0,61;-0,02;0,97;-0,29;;;;;;;;;;;;;
3,160;0,25;0,61;-0,02;0,97;-0,29;;;;;;;;;;;;;
3,161;0,25;0,61;-0,02;0,97;-0,29;;;;;;;;;;;;;
3,162;0,25;0,61;-0,02;0,97;-0,29;;;;;;;;;;;;;
3,163;0,25;0,61;-0,02;0,98;-0,29;;;;;;;;;;;;;
3,164;0,25;0,62;-0,02;0,98;-0,29;;;;;;;;;;;;;
3,165;0,25;0,62;-0,02;0,98;-0,29;;;;;;;;;;;;;
3,166;0,25;0,61;-0,02;0,98;-0,29;;;;;;;;;;;;;
3,167;0,25;0,62;-0,02;0,98;-0,29;;;;;;;;;;;;;
3,168;0,26;0,62;-0,02;0,98;-0,29;;;;;;;;;;;;;
3,169;0,26;0,62;-0,02;0,98;-0,29;;;;;;;;;;;;;
3,170;0,26;0,62;-0,02;0,98;-0,29;;;;;;;;;;;;;
3,171;0,25;0,62;-0,02;0,98;-0,29;;;;;;;;;;;;;
3,172;0,25;0,61;-0,02;0,98;-0,29;;;;;;;;;;;;;
3,173;0,25;0,61;-0,02;0,97;-0,29;;;;;;;;;;;;;
3,174;0,25;0,62;-0,02;0,98;-0,29;;;;;;;;;;;;;
3,175;0,26;0,62;-0,01;0,98;-0,28;;;;;;;;;;;;;
3,176;0,26;0,62;-0,01;0,98;-0,28;;;;;;;;;;;;;
3,177;0,26;0,62;-0,01;0,98;-0,28;;;;;;;;;;;;;
3,178;0,26;0,62;-0,01;0,99;-0,28;;;;;;;;;;;;;
3,179;0,26;0,63;-0,01;0,99;-0,28;;;;;;;;;;;;;
3,180;0,26;0,63;-0,01;0,99;-0,28;;;;;;;;;;;;;
3,181;0,27;0,63;-0,01;0,99;-0,28;;;;;;;;;;;;;
3,182;0,26;0,63;-0,01;0,99;-0,28;;;;;;;;;;;;;
3,183;0,27;0,63;-0,01;0,99;-0,28;;;;;;;;;;;;;
3,184;0,27;0,63;0,00;0,99;-0,28;;;;;;;;;;;;;
3,185;0,27;0,63;0,00;0,99;-0,28;;;;;;;;;;;;;
3,186;0,27;0,63;0,00;0,99;-0,27;;;;;;;;;;;;;
3,187;0,27;0,63;0,00;0,99;-0,27;;;;;;;;;;;;;
3,188;0,27;0,63;0,00;0,99;-0,27;;;;;;;;;;;;;
3,189;0,27;0,63;0,00;0,99;-0,27;;;;;;;;;;;;;
3,190;0,27;0,64;0,00;1,00;-0,27;;;;;;;;;;;;;
3,191;0,28;0,64;0,01;1,00;-0,27;;;;;;;;;;;;;
3,192;0,28;0,64;0,01;1,00;-0,27;;;;;;;;;;;;;
3,193;0,28;0,64;0,00;1,00;-0,27;;;;;;;;;;;;;
3,194;0,27;0,63;0,00;0,99;-0,27;;;;;;;;;;;;;
3,195;0,27;0,63;0,00;0,99;-0,27;;;;;;;;;;;;;
3,196;0,27;0,63;0,00;1,00;-0,27;;;;;;;;;;;;;
3,197;0,28;0,64;0,01;1,00;-0,27;;;;;;;;;;;;;
3,198;0,28;0,64;0,00;1,00;-0,27;;;;;;;;;;;;;
3,199;0,28;0,64;0,01;1,00;-0,27;;;;;;;;;;;;;
3,200;0,28;0,64;0,00;1,00;-0,27;;;;;;;;;;;;;
3,201;0,27;0,63;0,00;0,99;-0,27;;;;;;;;;;;;;
3,202;0,27;0,63;0,00;0,99;-0,27;;;;;;;;;;;;;
3,203;0,27;0,64;0,00;1,00;-0,27;;;;;;;;;;;;;
3,204;0,28;0,64;0,00;1,00;-0,27;;;;;;;;;;;;;
3,205;0,28;0,64;0,01;1,00;-0,27;;;;;;;;;;;;;
3,206;0,28;0,64;0,01;1,00;-0,27;;;;;;;;;;;;;
3,207;0,28;0,64;0,01;1,00;-0,27;;;;;;;;;;;;;
3,208;0,28;0,64;0,01;1,00;-0,26;;;;;;;;;;;;;
3,209;0,28;0,64;0,01;1,00;-0,27;;;;;;;;;;;;;
3,210;0,28;0,64;0,01;1,00;-0,26;;;;;;;;;;;;;
3,211;0,28;0,64;0,01;1,00;-0,27;;;;;;;;;;;;;
3,212;0,28;0,64;0,01;0,99;-0,27;;;;;;;;;;;;;
3,213;0,27;0,63;0,00;0,99;-0,27;;;;;;;;;;;;;
3,214;0,27;0,63;0,00;0,99;-0,27;;;;;;;;;;;;;
3,215;0,27;0,63;0,00;0,99;-0,27;;;;;;;;;;;;;
3,216;0,27;0,63;0,00;0,99;-0,27;;;;;;;;;;;;;
3,217;0,27;0,63;0,00;0,99;-0,27;;;;;;;;;;;;;
3,218;0,27;0,63;0,00;0,99;-0,27;;;;;;;;;;;;;
3,219;0,27;0,63;0,00;0,99;-0,27;;;;;;;;;;;;;
3,220;0,28;0,64;0,01;1,00;-0,26;;;;;;;;;;;;;
3,221;0,28;0,64;0,01;1,00;-0,26;;;;;;;;;;;;;
3,222;0,28;0,64;0,01;1,00;-0,26;;;;;;;;;;;;;
3,223;0,28;0,64;0,01;1,00;-0,26;;;;;;;;;;;;;
3,224;0,28;0,64;0,01;1,00;-0,26;;;;;;;;;;;;;
3,225;0,29;0,65;0,02;1,01;-0,25;;;;;;;;;;;;;
3,226;0,29;0,65;0,02;1,01;-0,26;;;;;;;;;;;;;
3,227;0,29;0,65;0,02;1,01;-0,25;;;;;;;;;;;;;
3,228;0,28;0,64;0,01;1,00;-0,26;;;;;;;;;;;;;
3,229;0,29;0,65;0,02;1,01;-0,25;;;;;;;;;;;;;
3,230;0,29;0,65;0,02;1,01;-0,25;;;;;;;;;;;;;
3,231;0,29;0,65;0,02;1,01;-0,25;;;;;;;;;;;;;
3,232;0,29;0,65;0,02;1,01;-0,25;;;;;;;;;;;;;
3,233;0,29;0,65;0,02;1,01;-0,25;;;;;;;;;;;;;
3,234;0,29;0,65;0,02;1,01;-0,25;;;;;;;;;;;;;
3,235;0,29;0,65;0,02;1,01;-0,25;;;;;;;;;;;;;
3,236;0,29;0,65;0,02;1,01;-0,25;;;;;;;;;;;;;
3,237;0,30;0,65;0,02;1,01;-0,25;;;;;;;;;;;;;
3,238;0,30;0,66;0,02;1,02;-0,25;;;;;;;;;;;;;
3,239;0,30;0,66;0,03;1,02;-0,25;;;;;;;;;;;;;
3,240;0,30;0,66;0,03;1,02;-0,25;;;;;;;;;;;;;
3,241;0,30;0,66;0,03;1,02;-0,25;;;;;;;;;;;;;
3,242;0,30;0,66;0,03;1,02;-0,24;;;;;;;;;;;;;
3,243;0,30;0,66;0,03;1,02;-0,24;;;;;;;;;;;;;
3,244;0,30;0,66;0,03;1,02;-0,25;;;;;;;;;;;;;
3,245;0,29;0,65;0,02;1,01;-0,25;;;;;;;;;;;;;
3,246;0,29;0,65;0,02;1,01;-0,25;;;;;;;;;;;;;
3,247;0,29;0,65;0,02;1,01;-0,25;;;;;;;;;;;;;
3,248;0,29;0,65;0,02;1,01;-0,26;;;;;;;;;;;;;
3,249;0,29;0,65;0,02;1,01;-0,26;;;;;;;;;;;;;
3,250;0,29;0,65;0,02;1,01;-0,25;;;;;;;;;;;;;
3,251;0,29;0,65;0,02;1,01;-0,25;;;;;;;;;;;;;
3,252;0,29;0,65;0,02;1,01;-0,25;;;;;;;;;;;;;
3,253;0,29;0,65;0,02;1,01;-0,25;;;;;;;;;;;;;
3,254;0,29;0,65;0,02;1,01;-0,25;;;;;;;;;;;;;
3,255;0,29;0,65;0,02;1,01;-0,25;;;;;;;;;;;;;
3,256;0,29;0,65;0,02;1,01;-0,25;;;;;;;;;;;;;
3,257;0,29;0,65;0,02;1,01;-0,25;;;;;;;;;;;;;
3,258;0,29;0,65;0,02;1,01;-0,25;;;;;;;;;;;;;
3,259;0,29;0,65;0,02;1,01;-0,25;;;;;;;;;;;;;
3,260;0,30;0,66;0,02;1,01;-0,25;;;;;;;;;;;;;
3,261;0,30;0,66;0,03;1,02;-0,25;;;;;;;;;;;;;
3,262;0,30;0,66;0,03;1,02;-0,24;;;;;;;;;;;;;
3,263;0,30;0,66;0,03;1,02;-0,25;;;;;;;;;;;;;
3,264;0,30;0,66;0,03;1,01;-0,25;;;;;;;;;;;;;
3,265;0,30;0,66;0,03;1,01;-0,25;;;;;;;;;;;;;
3,266;0,30;0,66;0,03;1,02;-0,24;;;;;;;;;;;;;
3,267;0,30;0,66;0,03;1,02;-0,24;;;;;;;;;;;;;
3,268;0,30;0,66;0,03;1,02;-0,24;;;;;;;;;;;;;
3,269;0,30;0,66;0,03;1,02;-0,24;;;;;;;;;;;;;
3,270;0,30;0,66;0,03;1,02;-0,24;;;;;;;;;;;;;
3,271;0,30;0,66;0,03;1,02;-0,24;;;;;;;;;;;;;
3,272;0,30;0,66;0,03;1,02;-0,24;;;;;;;;;;;;;
3,273;0,30;0,66;0,03;1,02;-0,25;;;;;;;;;;;;;
3,274;0,30;0,66;0,03;1,02;-0,25;;;;;;;;;;;;;
3,275;0,29;0,65;0,02;1,01;-0,25;;;;;;;;;;;;;
3,276;0,29;0,65;0,02;1,01;-0,25;;;;;;;;;;;;;
3,277;0,29;0,65;0,02;1,00;-0,26;;;;;;;;;;;;;
3,278;0,29;0,64;0,01;1,00;-0,26;;;;;;;;;;;;;
3,279;0,29;0,64;0,01;1,00;-0,26;;;;;;;;;;;;;
3,280;0,28;0,64;0,01;1,00;-0,26;;;;;;;;;;;;;
3,281;0,29;0,64;0,01;1,00;-0,26;;;;;;;;;;;;;
3,282;0,29;0,65;0,02;1,00;-0,26;;;;;;;;;;;;;
3,283;0,29;0,65;0,02;1,01;-0,26;;;;;;;;;;;;;
3,284;0,29;0,65;0,02;1,01;-0,26;;;;;;;;;;;;;
3,285;0,29;0,65;0,02;1,00;-0,26;;;;;;;;;;;;;
3,286;0,29;0,65;0,02;1,01;-0,26;;;;;;;;;;;;;
3,287;0,29;0,65;0,02;1,01;-0,25;;;;;;;;;;;;;
3,288;0,29;0,65;0,02;1,01;-0,26;;;;;;;;;;;;;
3,289;0,30;0,65;0,02;1,01;-0,25;;;;;;;;;;;;;
3,290;0,30;0,65;0,02;1,01;-0,25;;;;;;;;;;;;;
3,291;0,30;0,65;0,02;1,01;-0,25;;;;;;;;;;;;;
3,292;0,29;0,65;0,02;1,01;-0,25;;;;;;;;;;;;;
3,293;0,29;0,65;0,02;1,01;-0,25;;;;;;;;;;;;;
3,294;0,30;0,65;0,02;1,01;-0,25;;;;;;;;;;;;;
3,295;0,29;0,65;0,02;1,01;-0,25;;;;;;;;;;;;;
3,296;0,30;0,66;0,02;1,01;-0,25;;;;;;;;;;;;;
3,297;0,30;0,66;0,02;1,01;-0,25;;;;;;;;;;;;;
3,298;0,30;0,66;0,03;1,02;-0,25;;;;;;;;;;;;;
3,299;0,30;0,66;0,03;1,02;-0,24;;;;;;;;;;;;;
3,300;0,31;0,67;0,04;1,02;-0,24;;;;;;;;;;;;;
3,301;0,31;0,67;0,04;1,03;-0,23;;;;;;;;;;;;;
3,302;0,32;0,67;0,04;1,03;-0,23;;;;;;;;;;;;;
3,303;0,32;0,68;0,04;1,03;-0,23;;;;;;;;;;;;;
3,304;0,32;0,68;0,05;1,04;-0,23;;;;;;;;;;;;;
3,305;0,32;0,68;0,05;1,04;-0,23;;;;;;;;;;;;;
3,306;0,32;0,68;0,05;1,04;-0,23;;;;;;;;;;;;;
3,307;0,32;0,68;0,05;1,04;-0,23;;;;;;;;;;;;;
3,308;0,32;0,68;0,05;1,04;-0,23;;;;;;;;;;;;;
3,309;0,32;0,68;0,05;1,04;-0,23;;;;;;;;;;;;;
3,310;0,32;0,67;0,04;1,03;-0,23;;;;;;;;;;;;;
3,311;0,32;0,68;0,04;1,03;-0,23;;;;;;;;;;;;;
3,312;0,32;0,68;0,04;1,03;-0,23;;;;;;;;;;;;;
3,313;0,32;0,67;0,04;1,03;-0,23;;;;;;;;;;;;;
3,314;0,32;0,68;0,04;1,04;-0,23;;;;;;;;;;;;;
3,315;0,32;0,68;0,05;1,04;-0,23;;;;;;;;;;;;;
3,316;0,32;0,68;0,05;1,04;-0,23;;;;;;;;;;;;;
3,317;0,32;0,68;0,04;1,04;-0,23;;;;;;;;;;;;;
3,318;0,32;0,68;0,04;1,04;-0,23;;;;;;;;;;;;;
3,319;0,32;0,68;0,05;1,04;-0,23;;;;;;;;;;;;;
3,320;0,32;0,68;0,04;1,03;-0,23;;;;;;;;;;;;;
3,321;0,32;0,67;0,04;1,03;-0,23;;;;;;;;;;;;;
3,322;0,31;0,67;0,04;1,03;-0,24;;;;;;;;;;;;;
3,323;0,31;0,67;0,04;1,03;-0,24;;;;;;;;;;;;;
3,324;0,31;0,67;0,04;1,03;-0,24;;;;;;;;;;;;;
3,325;0,31;0,67;0,03;1,02;-0,24;;;;;;;;;;;;;
3,326;0,31;0,67;0,03;1,02;-0,24;;;;;;;;;;;;;
3,327;0,31;0,67;0,03;1,02;-0,24;;;;;;;;;;;;;
3,328;0,31;0,67;0,03;1,02;-0,24;;;;;;;;;;;;;
3,329;0,31;0,67;0,04;1,03;-0,24;;;;;;;;;;;;;
3,330;0,32;0,67;0,04;1,03;-0,23;;;;;;;;;;;;;
3,331;0,32;0,67;0,04;1,03;-0,23;;;;;;;;;;;;;
3,332;0,32;0,68;0,04;1,03;-0,23;;;;;;;;;;;;;
3,333;0,32;0,68;0,05;1,04;-0,23;;;;;;;;;;;;;
3,334;0,32;0,68;0,05;1,04;-0,23;;;;;;;;;;;;;
3,335;0,32;0,68;0,05;1,04;-0,23;;;;;;;;;;;;;
3,336;0,32;0,68;0,05;1,03;-0,23;;;;;;;;;;;;;
3,337;0,32;0,68;0,05;1,04;-0,23;;;;;;;;;;;;;
3,338;0,32;0,68;0,05;1,04;-0,23;;;;;;;;;;;;;
3,339;0,32;0,68;0,05;1,04;-0,23;;;;;;;;;;;;;
3,340;0,33;0,68;0,05;1,04;-0,23;;;;;;;;;;;;;
3,341;0,33;0,68;0,05;1,04;-0,22;;;;;;;;;;;;;
3,342;0,33;0,69;0,05;1,04;-0,22;;;;;;;;;;;;;
3,343;0,33;0,69;0,06;1,05;-0,22;;;;;;;;;;;;;
3,344;0,34;0,69;0,06;1,05;-0,22;;;;;;;;;;;;;
3,345;0,34;0,69;0,06;1,05;-0,22;;;;;;;;;;;;;
3,346;0,34;0,69;0,06;1,05;-0,22;;;;;;;;;;;;;
3,347;0,34;0,70;0,06;1,05;-0,21;;;;;;;;;;;;;
3,348;0,34;0,70;0,06;1,05;-0,21;;;;;;;;;;;;;
3,349;0,34;0,70;0,07;1,06;-0,21;;;;;;;;;;;;;
3,350;0,35;0,70;0,07;1,06;-0,21;;;;;;;;;;;;;
3,351;0,35;0,70;0,07;1,06;-0,21;;;;;;;;;;;;;
3,352;0,35;0,70;0,07;1,06;-0,21;;;;;;;;;;;;;
3,353;0,34;0,70;0,07;1,06;-0,21;;;;;;;;;;;;;
3,354;0,35;0,70;0,07;1,06;-0,21;;;;;;;;;;;;;
3,355;0,35;0,70;0,07;1,06;-0,21;;;;;;;;;;;;;
3,356;0,35;0,70;0,07;1,06;-0,21;;;;;;;;;;;;;
3,357;0,35;0,70;0,07;1,06;-0,21;;;;;;;;;;;;;
3,358;0,35;0,70;0,07;1,06;-0,21;;;;;;;;;;;;;
3,359;0,35;0,70;0,07;1,06;-0,21;;;;;;;;;;;;;
3,360;0,35;0,71;0,07;1,06;-0,20;;;;;;;;;;;;;
3,361;0,35;0,71;0,08;1,06;-0,20;;;;;;;;;;;;;
3,362;0,35;0,71;0,07;1,06;-0,20;;;;;;;;;;;;;
3,363;0,35;0,71;0,07;1,06;-0,20;;;;;;;;;;;;;
3,364;0,35;0,70;0,07;1,06;-0,21;;;;;;;;;;;;;
3,365;0,35;0,70;0,07;1,06;-0,21;;;;;;;;;;;;;
3,366;0,35;0,70;0,07;1,06;-0,21;;;;;;;;;;;;;
3,367;0,35;0,70;0,07;1,06;-0,21;;;;;;;;;;;;;
3,368;0,34;0,70;0,07;1,05;-0,21;;;;;;;;;;;;;
3,369;0,35;0,70;0,07;1,05;-0,21;;;;;;;;;;;;;
3,370;0,35;0,70;0,07;1,06;-0,21;;;;;;;;;;;;;
3,371;0,35;0,71;0,07;1,06;-0,20;;;;;;;;;;;;;
3,372;0,35;0,71;0,07;1,06;-0,21;;;;;;;;;;;;;
3,373;0,35;0,71;0,07;1,06;-0,20;;;;;;;;;;;;;
3,374;0,36;0,71;0,08;1,07;-0,20;;;;;;;;;;;;;
3,375;0,36;0,71;0,08;1,07;-0,20;;;;;;;;;;;;;
3,376;0,36;0,71;0,08;1,07;-0,20;;;;;;;;;;;;;
3,377;0,36;0,71;0,08;1,07;-0,20;;;;;;;;;;;;;
3,378;0,36;0,72;0,08;1,07;-0,20;;;;;;;;;;;;;
3,379;0,36;0,71;0,08;1,07;-0,20;;;;;;;;;;;;;
3,380;0,36;0,72;0,08;1,07;-0,20;;;;;;;;;;;;;
3,381;0,36;0,72;0,08;1,07;-0,20;;;;;;;;;;;;;
3,382;0,36;0,71;0,08;1,07;-0,20;;;;;;;;;;;;;
3,383;0,36;0,71;0,08;1,07;-0,20;;;;;;;;;;;;;
3,384;0,36;0,71;0,08;1,07;-0,20;;;;;;;;;;;;;
3,385;0,36;0,71;0,08;1,06;-0,20;;;;;;;;;;;;;
3,386;0,36;0,71;0,08;1,06;-0,20;;;;;;;;;;;;;
3,387;0,36;0,71;0,08;1,07;-0,20;;;;;;;;;;;;;
3,388;0,36;0,72;0,08;1,07;-0,20;;;;;;;;;;;;;
3,389;0,36;0,72;0,08;1,07;-0,19;;;;;;;;;;;;;
3,390;0,36;0,72;0,09;1,07;-0,19;;;;;;;;;;;;;
3,391;0,37;0,72;0,09;1,07;-0,19;;;;;;;;;;;;;
3,392;0,37;0,73;0,09;1,08;-0,19;;;;;;;;;;;;;
3,393;0,38;0,73;0,10;1,08;-0,18;;;;;;;;;;;;;
3,394;0,38;0,73;0,10;1,09;-0,18;;;;;;;;;;;;;
3,395;0,38;0,73;0,10;1,09;-0,18;;;;;;;;;;;;;
3,396;0,38;0,74;0,10;1,09;-0,18;;;;;;;;;;;;;
3,397;0,38;0,73;0,10;1,09;-0,18;;;;;;;;;;;;;
3,398;0,38;0,73;0,10;1,09;-0,18;;;;;;;;;;;;;
3,399;0,38;0,74;0,10;1,09;-0,18;;;;;;;;;;;;;
3,400;0,39;0,74;0,11;1,09;-0,17;;;;;;;;;;;;;
3,401;0,39;0,74;0,11;1,09;-0,17;;;;;;;;;;;;;
3,402;0,40;0,75;0,12;1,10;-0,16;;;;;;;;;;;;;
3,403;0,40;0,75;0,12;1,10;-0,16;;;;;;;;;;;;;
3,404;0,40;0,75;0,12;1,11;-0,16;;;;;;;;;;;;;
3,405;0,41;0,76;0,13;1,11;-0,16;;;;;;;;;;;;;
3,406;0,41;0,76;0,13;1,11;-0,15;;;;;;;;;;;;;
3,407;0,41;0,76;0,13;1,11;-0,15;;;;;;;;;;;;;
3,408;0,41;0,76;0,13;1,11;-0,15;;;;;;;;;;;;;
3,409;0,41;0,76;0,13;1,11;-0,16;;;;;;;;;;;;;
3,410;0,40;0,75;0,12;1,11;-0,16;;;;;;;;;;;;;
3,411;0,40;0,75;0,12;1,10;-0,16;;;;;;;;;;;;;
3,412;0,40;0,75;0,12;1,10;-0,16;;;;;;;;;;;;;
3,413;0,40;0,75;0,12;1,10;-0,16;;;;;;;;;;;;;
3,414;0,40;0,75;0,12;1,10;-0,16;;;;;;;;;;;;;
3,415;0,41;0,76;0,12;1,11;-0,16;;;;;;;;;;;;;
3,416;0,41;0,76;0,13;1,11;-0,15;;;;;;;;;;;;;
3,417;0,41;0,76;0,13;1,11;-0,15;;;;;;;;;;;;;
3,418;0,41;0,76;0,13;1,11;-0,15;;;;;;;;;;;;;
3,419;0,42;0,77;0,13;1,12;-0,15;;;;;;;;;;;;;
3,420;0,41;0,76;0,13;1,12;-0,15;;;;;;;;;;;;;
3,421;0,41;0,76;0,13;1,11;-0,15;;;;;;;;;;;;;
3,422;0,41;0,76;0,13;1,11;-0,15;;;;;;;;;;;;;
3,423;0,41;0,76;0,13;1,11;-0,15;;;;;;;;;;;;;
3,424;0,41;0,76;0,13;1,11;-0,15;;;;;;;;;;;;;
3,425;0,42;0,77;0,14;1,12;-0,15;;;;;;;;;;;;;
3,426;0,42;0,77;0,14;1,12;-0,14;;;;;;;;;;;;;
3,427;0,42;0,77;0,14;1,12;-0,14;;;;;;;;;;;;;
